Type,Text,Key
Ability,STR,str
Ability,CON,con
Ability,POW,pow
Ability,DEX,dex
Ability,APP,app
Ability,SIZ,siz
Ability,INT,int2
Ability,EDU,edu
Ability,HP,hp
Ability,MP,mp
Ability,初期SAN,initSan
Ability,アイデア,idea
Ability,幸運,luk
Ability,知識,knowledge
BattleArts,回避,avoidance
BattleArts,キック,kick
BattleArts,組み付き,hold
BattleArts,こぶし（パンチ）,punch
BattleArts,頭突き,headThrust
BattleArts,投擲,throwing
BattleArts,マーシャルアーツ,martialArts
BattleArts,拳銃,handGun
BattleArts,サブマシンガン,submachineGun
BattleArts,ショットガン,shotGun
BattleArts,マシンガン,machineGun
BattleArts,ライフル,rifle
FindArts,応急手当,firstAid
FindArts,鍵開け,lockPicking
FindArts,隠す,hide
FindArts,隠れる,disappear
FindArts,聞き耳,ear
FindArts,忍び歩き,quietStep
FindArts,写真術,photography
FindArts,精神分析,psychoAnalysis
FindArts,追跡,tracking
FindArts,登攀,climbing
FindArts,図書館,library
FindArts,目星,aim
ActionArts,運転,driving
ActionArts,機械修理,repairingMachine
ActionArts,重機械操作,operatingHeavyMachine
ActionArts,乗馬,ridingHorse
ActionArts,水泳,swimming
ActionArts,製作,creating
ActionArts,操縦,control
ActionArts,跳躍,jumping
ActionArts,電気修理,repairingElectric
ActionArts,ナビゲート,navigate
ActionArts,変装,disguise
NegotiationArts,言いくるめ,winOver
NegotiationArts,信用,credit
NegotiationArts,値切り,haggle
NegotiationArts,説得,argue
NegotiationArts,母国語,nativeLanguage
KnowledgeArts,医学,medicine
KnowledgeArts,オカルト,occult
KnowledgeArts,化学,chemistry
KnowledgeArts,クトゥルフ神話,cthulhuMythology
KnowledgeArts,芸術,art
KnowledgeArts,経理,accounting
KnowledgeArts,考古学,archeology
KnowledgeArts,コンピューター,computer
KnowledgeArts,心理学,psychology
KnowledgeArts,人類学,anthropology
KnowledgeArts,生物学,biology
KnowledgeArts,地質学,geology
KnowledgeArts,電子工学,electronicEngineering
KnowledgeArts,天文学,astronomy
KnowledgeArts,博物学,naturalHistory
KnowledgeArts,物理学,physics
KnowledgeArts,法律,law
KnowledgeArts,薬学,pharmacy
KnowledgeArts,歴史,history
